"We expect to ship your order on %s and your order will be delivered between %s and %s","El envío de su pedido está previsto para el día %s y será entregado entre los días %s y %s"
"%s - %s","entre el %s y el %s"
"upload_photo","Subir una imagen"
"change_picture","Cambiar imagen"
"rotate_left","Girar"
"rotate_right","Girar"
"show_design","Mostrar diseño"
"case_color","Color de la carcasa"
"design_studio_link","Para más opciones de diseño, ir al editor!"
"design_studio_popup_text","¿Quieres añadir varias fotos, textos y filtros?"
"design_studio_popup_link","Ir al editor!"
"Reason for cancelation","Motivo de la cancelación:"
"Wrong product","He pedido un producto equivocado"
"Changed mind","He cambiado de opinión"
"Please note","Por favor tenga en cuenta que solo podemos cancelar su pedido si este todavía no se ha impreso o enviado."
"View cart","Ver carrito"
"edit_picture","Editar"
"Printing specialist","Especialistas en impresión"
"Secure payment methods","Métodos de pago seguro"
"High customer satisfaction","Gran número de clientes satisfechos"
"Account","Mi cuenta"
"Sign In","Iniciar sesión"
"Sign Out","Cerrar sesión"
"Contact","Contacto"
"View Details","Ver los detalles"
"Delivery and payment","Página de pago"
"Shopping Cart","Carrito"
"Checkout","Realizar Pedido"
"Email Address","Dirección de correo electrónico"
"Password","Contraseña"
"Confirm Password","Confirmar contraseña"
"First Name","Nombre"
"Last Name","Apellidos"
"Company","Empresa (opcional)"
"Country","País"
"Street Name","Calle"
"House Number","Número"
"Additional Address","Datos adicionales (Piso, puerta y/o escalera...)"
"Zip/Postal Code","Código postal"
"City","Ciudad"
"Phone Number","Teléfono"
"State/Province","Estado / Provincia"
"My billing and shipping address are the same","Mi dirección de facturación y envío es la misma"
"Billing Address","Dirección de facturación"
"Shipping Methods","Método de envío"
"Payment Method","Método de pago"
"Discount Code","Códigos de descuento"
"Enter your coupon code if you have one.","Ingresa tu código de cupón si tienes uno."
"Enter a discount code if you got it.","Ingrese su código de cupón si tiene uno."
"Apply Coupon","Aplicar un cupón"
"Checkout Review","Ver Pedido"
"Product name","Nombre del producto"
"Quantity","Cantidad"
"Subtotal","Total parcial"
"Cart Subtotal","Subtotal Del Carrito"
"Shipping","Manipulación y Envío"
"Tax","IVA"
"Order Total","Total general"
"Place Order","Realizar el pedido"
"Credit card","Tarjeta de crédito"
"Proceed to Checkout","Realizar Pedido"
"Cancel","Cancelar"
"Update","Actualizar"
"Shipping Address","Dirección de envío"
"Existing customer? Log in to your account","¿Ya eres cliente? Inicia sesión en tu cuenta"
"Start typing your address or zip/postal code","Empiece a escribir su dirección o código postal"
"Not yet calculated","Aún no calculado"
"More Brands","Más Marcas"
"Other Products","Otros productos"
"MORE BRANDS","Más Marcas"
"OTHER PRODUCTS","Otros productos"
"Please select one or more attributes.","Por favor seleccione uno o más atributos."
"Be the first to review this product","Sea el primero en opinar sobre este producto"
"Add Your Review", "Agrega tu evaluación"
"Details", "Detalles"
"Reviews","Opiniones"
"Newsletter Subscriptions", "Suscripciones a los boletines"
"Privacy Settings", "La configuración de privacidad"
"My Product Reviews", "Mis opiniones de productos"
"Select location","Seleccionar ubicación"
"To place your order, you must agree to the terms and conditions.","Para realizar su pedido, debe aceptar los términos y condiciones."
"Enter Keyword or Item","Ingrese palabra clave o artículo"
"Search entire store here...", "Busca la tienda entera aquí..."
"Items %1-%2 of %3 total","Elementos %1-%2 de un total de %3"
"%1 Item","%1 Articulo"
"%1 Items","%1 Artículos"
"Prev","Previo"
"Previous","Previo"
"Next","Próximo"
"Your search returned no products.","Su búsqueda no arrojó ningún producto."
"Search results for: '%1'","Resultados de búsqueda para: '%1'"
"There are no products matching the selection.","No hay productos que coincidan con la selección."
"Home","Home"
"Recently Viewed Products","Productos Vistos Recientemente"
"Your search returned no results.","Su búsqueda no produjo resultados."
"Show","Mostrar"
"per page","por página"
"Did you mean","Querías decir"
"Related Terms","Términos Relacionados"
"This is a required field.","Este es un campo obligatorio."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","No se realizó el pedido. Primero, acepte los términos y condiciones, luego intente realizar su pedido nuevamente."
"Please choose your phone type", "Elija su tipo de teléfono"
"Life is a matter of choices and every choice you make, makes you.", "La vida es una cuestión de elecciones y cada elección que haces, te convierte en ti."
Edit","Editar"
"You added %s to your shopping cart.","Agregaste %s a tu carrito de compras."
"You added %1 to your shopping cart.","Agregaste %1 a tu carrito de compras."
"We can't add this item to your shopping cart right now.","No podemos agregar este artículo a su carrito de compras en este momento."
"Recently added item(s)","Elementos agregados recientemente"
"View Cart","Ver Carrito"
"Your order has been received.","Hemos recibido tu pedido."
"Thank you for your purchase!","¡Gracias por tu pedido!"
"Print receipt", "Imprimir el recibo"
"Your order # is: %1.", "Su pedido # es: %1."
"We'll email you an order confirmation with details and tracking info.", "Le enviaremos por correo electrónico una confirmación de pedido con detalles e información de seguimiento."
"We expect to ship your order on %1 and your order will be delivered on %2.", "Esperamos enviar su pedido el %1 y su pedido se entregará el %2."
"We expect to ship your order on %1 and your order will be delivered between %2 and %3.", "Esperamos enviar su pedido el %1 y su pedido se entregará entre %2 y %3."
"We expect to ship your order on %1.", "Esperamos enviar su pedido el %1."
"Edit","Editar"
"Grand Total","Total General"
"The requested qty exceeds the maximum qty allowed in shopping cart","La cantidad solicitada excede la cantidad máxima permitida en el carrito de compras"
"Are you sure you would like to remove this item from the shopping cart?","¿Está seguro de que desea eliminar este artículo del carrito de compras?"
"The shipping method is missing. Select the shipping method and try again.","Falta el método de envío. Seleccione el método de envío y vuelva a intentarlo."
"Back to Store","De vuelta a la tienda"
"For delivery questions.","Para preguntas sobre entrega."
"Ship here","Enviar aquí"
"Subscribe to newsletter","Suscribirse al boletín de noticias"
"Subscribe to Newsletter","Suscribirse al boletín de noticias"
"Some addresses can't be used due to the configurations for specific countries.","Algunas direcciones no se pueden usar debido a las configuraciones para países específicos."
"An error occurred on the server. Please try to place the order again.","Ocurrió un error en el servidor. Intente realizar el pedido nuevamente."
"Submit chosen location","Enviar la ubicación elegida"
"Pickup locations found","Lugares de recogida encontrados"
"Filter pickup locations","Filtrar lugares de recogida"
"Postcode, city, street, house","Código postal, ciudad, calle, casa"
"Search","Búsqueda"
"search","búsqueda"
"Late open (after: 18:00)","Abierto tarde (después de: 18:00)"
"Open early (before 9:00)","Abierto temprano (antes de las 9:00)"
"Open on Sunday","Abierto el domingo"
"Choose a pickup location","Elija un lugar de recogida"
"I would like to receive a new one","Me gustaria recibir uno nuevo"
"I would like to get a refund","Me gustaría obtener un reembolso"
"Select subcategory", "Seleccionar subcategoría"
"Choose your solution", "Elige tu solución"
"Print quality","Calidad de impresión"
"Product quality (item)","Calidad del producto (artículo)"
"Wrong product (does not fit)","Producto incorrecto (no encaja)"
"It is not what I expected","No es lo que esperaba"
"Package not yet arrived","El paquete aún no ha llegado"
"Choose another Topic","Elije otro tema"
"Need help? Contact us here", "¿Necesitas ayuda? Contacta con nosotros"
"Contact with Gocustomized support", "Póngase en contacto con el soporte de Gocustomized"
"Hi %1, please specify your support request", "Hola %1, por favor especifica tu solicitud"
"Hi %1, how can we help you?", "Hola %1, Cuéntanos tu problema"
"I need assistance with", "Tengo una pregunta sobre"
"My received product(s)", " Mi(s) producto(s) recibido(s)"
"My delivery", "Envío"
"Cancel order", "Cancelar pedido"
"Others", "Otros"
"Please select an issue", "Por favor, selecciona una pregunta o problema"
"Contact", "Contacto"
"How can we help you?", "¿Cómo podemos ayudarte?"
"DIRECT CUSTOMER SUPPORT", "ASISTENCIA DIRECTA"
"Login", "Inicia sesión"
"Please login to continue with direct support.", "Por favor, selecciona una pregunta o problema."
"Not (yet) a customer? You can get in contact with our support team <a href=""javascript:otherQuestion()"">here</a>", "¿No eres cliente (aún) o tienes una pregunta general? Contáctanos <a href=""javascript:otherQuestion()"">aquí</a>"
"Next", "Siguiente"
"Other", "Otro"
"change", "Cambiar"
"Please fill in the required fields", "Por favor, rellena los campos obligatorios"
"View all topics","Ver todos los apartados"
"Name","Nombre"
"Email address","Dirección de email"
"Question related to","Tu pregunta es sobre:"
"My preferred solution","Mi solución preferida"
"Upload an image","Sube una imagen del problema"
"Description of the issue","Tu comentario"
"Submit","Enviar"
"Please note that we can only cancel your order if we did not start printing and shipping your product.","Por favor tenga en cuenta que solo podemos cancelar su pedido si este todavía no se ha impreso o enviado."
"Didn't find what you're looking for?","¿No has encontrado lo que estabas buscando? Contáctanos para obtener asistencia directa"
"contact us","Contacte con nosotros"
"Topics","Temas"
"Search for help by topic, keywords","Temas populares: envío, reembolso, pago"
"Popular topics:","Temas populares:"
"return","reembolso"
"shipping","envío"
"payment","pago"
"Cash On Delivery","Contra reembolso"
"Credit Card","Tarjeta de crédito"
"Shipping & Handling","Gastos de envío"
"Account Dashboard","Panel de Control"
"Account Information","Información de la cuenta"
"Address Book","Libreta de direcciones"
"My Orders","Mis Pedidos"
"Newsletter Subscriptions", "Suscripciones al boletín de noticias"
"Add New Address","Agregar una nueva dirección"
"Contact Information","Información de contacto"
"Telephone","Teléfono"
"Address","Dirección"
"Street Address","Calle"
"Use as my default shipping address","Usar como mi dirección de envíos por defecto"
"Use as my default billing address","Usar como mi dirección de facturación por defecto"
"Go back","Volver atrás"
"Save Address","Guardar dirección"
"* Required Fields","* Campos Requeridos"
"My Account","Mi cuenta"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde Mi Cuenta puedes ver un resumen de tus actividades recientes y actualizar la información de tu cuenta. Selecciona un enlace inferior para ver o editar información."
"Change Password","Cambiar la contraseña de la cuenta"
"Newsletters","Boletines de noticias"
"You aren't subscribed to our newsletter.","No está suscrito a nuestro boletín."
"Manage Addresses","Gestionar direcciones"
"Default Billing Address","Dirección de facturación por defecto"
"Default Shipping Address","Dirección de envío por defecto"
"Edit Address","Editar la dirección"
"Email","Dirección de correo electrónico"
"Current Password","Contraseña actual"
"New Password","Nueva Contraseña"
"Confirm New Password","Confirmar la nueva contraseña"
"Save","Guardar"
"Default Addresses","Direcciones por defecto"
"Change Billing Address","Cambiar la dirección de facturación"
"Change Shipping Address","Cambiar la dirección de envío"
"Additional Address Entries","Entradas adicionales de domicilio"
"You have no other address entries in your address book.","No tiene otras entradas de direcciones en su libreta de direcciones."
"Back","Volver atrás"
"Order #","Pedido #"
"Date","Fecha"
"Status","Estado"
"View Order","Ver Pedido"
"%s Item(s)","%s Artículo(s)"
"%1 Item(s)","%1 Artículo(s)"
"You have submitted no reviews.","Usted no ha enviado opiniones."
"Newsletter Subscription","Suscripción al boletín de noticias"
"Subscription option","Opción de suscripción"
"General Subscription","Suscripción general"
"Policies text","Texto de políticas"
"Read Privacy Policy","Leer política de privacidad"
"Read Cookie Policy","Leer política de cookies"
"Here you can download a copy of your personal data which we store for your account in CSV format.","Aquí puede descargar una copia de sus datos personales que almacenamos para su cuenta en formato CSV."
"Download","Descargar"
"Anonymise personal data","Anonimizar los datos personales"
"Anonymising your personal data means that it will be replaced
                        with non-personal anonymous information and before that you will get your
                        new login to your e-mail address (your password will stay the same). After this process,
                        your e-mail address and all other personal data will be removed from the website.","Anonimizar sus datos personales significa que serán reemplazados
                        con información anónima no personal y antes de eso obtendrá su
                        nuevo inicio de sesión en su dirección de correo electrónico (su contraseña seguirá siendo la misma). Después de este proceso,
                        su dirección de correo electrónico y todos los demás datos personales se eliminarán del sitio web."
"I agree and I want to proceed","Estoy de acuerdo y quiero continuar"
"Proceed","Continuar"
"Delete account","Borrar cuenta"
"Request to remove your account, together with all your personal data,
                         will be processed by our staff.<br>Deleting your account will remove all the purchase
                         history, discounts, orders, invoices and all other information that might be related to your
                         account or your purchases.<br>All your orders and similar information will be
                         lost.<br>You will not be able to restore access to your account after
                         we approve your removal request.","Solicitar la eliminación de su cuenta, junto con todos sus datos personales,
                         será procesada por nuestro personal. <br> Eliminar su cuenta eliminará todas las compras
                         historial, descuentos, pedidos, facturas y toda otra información que pueda estar relacionada con su
                         cuenta o sus compras. <br> Todos sus pedidos e información similar serán
                         perdido. <br> No podrá restaurar el acceso a su cuenta después de
                         aprobamos su solicitud de eliminación."
"I understand and I want to delete my account","Entiendo y quiero borrar mi cuenta"
"Submit request","Enviar peticion"
"You saved the account information.","Guardaste la información de la cuenta."
"You have placed no orders.","No has realizado ningún pedido."
"Please select a region, state or province.","Seleccione una región, estado o provincia."
"You updated your password.","Actualizaste tu contraseña."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Si hay una cuenta asociada con %1, recibirá un correo electrónico con un vínculo para restablecer su contraseña."
"If there is an account associated with %s you will receive an email with a link to reset your password.","Si hay una cuenta asociada con %s, recibirá un correo electrónico con un vínculo para restablecer su contraseña."
"Ship To","Envie a"
"Reorder","Reordenar"
"Recently Ordered","Recientemente ordenado/a"
"View All","Ver todo"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","El inicio de sesión de la cuenta fue incorrecto o su cuenta está deshabilitada temporalmente. Espere y vuelva a intentarlo más tarde."
"Hi %s, Please include as much detail as possible","Hola %s, por favor especifica tu solicitud"
"Login and password are required.","Se requiere inicio de sesión y contraseña."
"You will be redirected to the PayPal website.","Será redirigido al sitio web de PayPal."
"Select Store:","Seleccionar tienda:"
"Design now!","¡Personalízala ya!"
"Thank you for registering with %s.","Gracias por registrarse con %s."
"Items Ordered","Artículos Ordenados"
"Order information","Información del pedido"
"You have signed out and will go to our homepage in 5 seconds.","Se ha desconectado y accederá a nuestra página de inicio en 5 segundos."
"You have not set a default shipping address.","No has establecido todavía una dirección de envío."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","La longitud mínima de este campo debe ser igual o superior a %1 símbolos. Se ignorarán los espacios iniciales y finales."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","El mínimo de diferentes clases de caracteres en la contraseña es %1. Clases de caracteres: minúsculas, mayúsculas, dígitos, caracteres especiales."
"Please enter the same value again.","Por favor, introduzca el mismo valor de nuevo."
"The minimum password length is %s","La longitud mínima de la contraseña es %s"
"Please enter your email address below to receive a password reset link.","Ingrese su dirección de correo electrónico a continuación para recibir un enlace para restablecer la contraseña."
"Set a New Password","Establecer una nueva contraseña"
"Forgot your password?","Olvidó su contraseña?"
"Thanks for reaching out to us we'll soon be in contact.","¡Gracias por contactarnos, pronto te daremos una respuesta!"
"Estimated delivery:","Entrega estimada:"
"Estimated delivery","Entrega estimada"
"Create an Account","Crear una cuenta"
"Welcome to","Bienvenido a"
"Welcome to %store_name.","Bienvenido a %store_name."
"Welcome to %store_name","Bienvenido a %store_name"
"Welcome to %s.","Bienvenido a %s."
"Welcome to %1.","Bienvenido a %1."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Para entrar en nuestra página y crear tu contraseña, pincha en el <a href=""%create_password_url"">link</a>:"
"To sign in to our site and set a password, click on the <a href=""%s"">link</a>:","Para entrar en nuestra página y crear tu contraseña, pincha en el <a href=""%s"">link</a>:"
"To sign in to our site and set a password, click on the <a href=""%1"">link</a>:","Para entrar en nuestra página y crear tu contraseña, pincha en el <a href=""%1"">link</a>:"
"Email:","Email:"
"When you sign in to your account, you will be able to:","Al ingresar en tu cuenta con nosotros, podrás:"
"Proceed through checkout faster","Agilizar tu proceso de compra"
"Check the status of orders","Comprobar el estado de tus pedidos"
"View past orders","Ver pedidos anteriores"
"Store alternative addresses (for shipping to multiple family members and friends)","Guardar direcciones alternativas (para enviar a varios familiares y amigos)"
"Thank you, %store_name","Muchas gracias, %store_name"
"Thank you, %s","Muchas gracias, %s"
"Thank you, %1","Muchas gracias, %1"
"My Recent Reviews","Mis opiniones recientes"
"Invoices","Facturas"
"Order Shipments","Envíos de pedidos"
"Back to My Orders","Volver a Mis pedidos"
"Order # %1","Pedido n.º %1"
"Print All Invoices","Imprimir todas las facturas"
"Invoice #","Factura #"
"Print Invoice","Imprimir factura"
"Qty Invoiced","Cantidad facturada"
"Order Information","Información del pedido"
"You submitted your review for moderation.","Envió su reseña para moderación."
"Print All Shipments","Imprimir todos los envíos"
"Shipment #","Envío #"
"Shipment #%1","Envío #%1"
"Print Shipment","Envío de impresión"
"Track this shipment","Seguimiento de este envío"
"Qty Shipped","Cantidad enviada"
"Refunds","Reembolsos"
"Print All Refunds","Imprimir todos los reembolsos"
"Refund #","Reembolso #"
"Refund #%1","Reembolso #%1"
"Print Refund","Reembolso de impresión"
"Discount Amount","Importe de descuento"
"Row Total","Total"
"Discount (%1)","Descuento (%1)"
"Request to change delivery address","Quiero cambiar la dirección de entrega"
"Request for cancellation","Quiero cancelar mi pedido"
"SEE LESS","VER MENOS"
"How Do You Rate This Product?","¿Cómo califica a este producto?"
"Nickname","Apodo"
"Summary of Your Review","Resumen de su opinión"
"Review","Opinión"
"Submit Review","Enviar opinión"
"Welcome, %1!","¡Bienvenido, %1!"
"Shipments","Envíos"
"ALL REVIEWS","TODAS LAS OPINIONES"
"All Reviews","Todas las opiniones"
"View all reviews","Ver todas las reseñas"
"View All Reviews","Ver todas las reseñas"
"Update Cart","Actualizar de Carrito"
"I Agree","Estoy de acuerdo"
"Cancel Coupon","Cancelar cupón"
"Your coupon was successfully applied.","Su cupón se aplicó correctamente".
"Your coupon was successfully removed.","Su cupón se eliminó correctamente".
"Your order number is: %1","Su número de pedido es: %1"
"Your order # is: <span>%1</span>.","Su pedido # es: <span>%1</span>".
"We\'ll email you an order confirmation with details and tracking info.","Le enviaremos por correo electrónico una confirmación de pedido con detalles e información de seguimiento".
"Click <a href=""%1"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Haga clic <a href=""%1"" onclick=""this.target=\'_blank\'"">aquí para imprimir</a> una copia de la confirmación de su pedido".
"%1 was updated in your shopping cart.","%1 se actualizó en su carrito de compras".
"I have a question about","Tengo una pregunta sobre"
"Position","Posición"
"Summary of your Review","Resumen de su opinión"
"Ship Here","Enviar aquí"
"Clear All","Borrar todo"
"All","Todo"
"Cancel coupon","Cancelar cupón"
"Continue Shopping","Continuar comprando"
"Password Strength","Seguridad de la contraseña"
"No Password","Sin contraseña"
"Weak","Débil"
"Medium","Medio"
"Strong","Fuerte"
"Very Strong","Muy fuerte"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Ya existe una cuenta con esta dirección de correo electrónico. Si está seguro de que es su dirección de correo electrónico, <a href=""%1""> haga clic aquí </a> para obtener su contraseña y acceder a su cuenta".
"Forgot Your Password","Olvidó su contraseña"
"Forgot Your Password?","Olvidó su contraseña?"
"New Address","Nueva dirección"
"Sorry, no quotes are available for this order.","Lo sentimos, no hay cotizaciones disponibles para este pedido."
"Get shipping methods and rates","Obtenga métodos y tarifas de envío"
"You don\'t need to select a shipping method.","No es necesario que seleccione un método de envío."
"Incl. Tax","Incl. Impuestos"
"Incl. tax","Incl. impuestos"
"Excl. Tax","Excl. Impuestos"
"Excl. tax","Excl. impuestos"
"Total incl. tax","Total incl. impuestos"
"Total excl. tax","Total excl. impuestos"
"Refund Shipping (Incl. Tax)","Reembolso de envío (Incl. Impuestos)"
"Refund Shipping (Excl. Tax)","Reembolso de envío (Excl. Impuestos)"
"Refund Shipping","Reembolso de envío"
"Click to change shipping method","Haga clic para cambiar el método de envío"
"Save in address book","Guardar en la libreta de direcciones"
"Please specify a regionId in shipping address.","Especifique un id de región en la dirección de envío".
"New Customers","Nuevos clientes"
"Registered Customers","Clientes Registrados"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, podrá realizar el proceso de compra más rápidamente, indicar un envío a múltiples direcciones, ver y hacer un seguimiento de sus Pedidos y mucho más. "
"If you have an account with us, please log in.","Si tiene una cuenta con nosotros, por favor acceda con sus datos."
"Coupon code is not valid","El código de cupón no es válido"
"Login or Create an Account","Inicie sesión o cree una cuenta"
"View and Edit Cart","Ver y editar carrito"
"We can't find products matching the selection.","No podemos encontrar productos que coincidan con la selección."
"GoCustomized - Design your product","GoCustomized: Diseña tu producto"
"You're reviewing:","Estás revisando:"
"You're reviewing:\n%s","Estás revisando:\n%s"
"You coupon was successfully applied.","Su cupón se aplicó correctamente."
"No Payment Methods","Sin métodos de pago"
"You have no items in your shopping cart.","No tiene artículos en su carrito de compras."
"Quality","Calidad"
"star","estrella"
"Go Back","Volver atrás"
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"We can\'t save the customer.","No podemos salvar al cliente."
"Thank you for registering with %1.","Gracias por registrarse con %1."
"Print Order","Orden de impresión"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Fecha de pedido: </span> %1"
"Price","Precio"
"price","precio"
"Filter","Filtrar"
"filter","filtrar"
"Could not apply coupon code","No se pudo aplicar el código de cupón"
"The shipping address is missing. Set the address and try again.","Falta la dirección de envío. Establezca la dirección y vuelva a intentarlo."
"Please type the letters below","Por favor escribe los caracteres a continuación"
"Products Reviews","Comentarios de los productos"
"Currently Shopping by","Actualmente comprando por"
"Currently Shopping by:","Actualmente comprando por:"
"Reviews %1","Opiniones %1"
"You save the address.","Guarde la dirección."
"Reset My Password","Restablecer mi contraseña"
"Continue Shopping","Seguir comprando"
"Incorrect CAPTCHA","CAPTCHA incorrecto"
"A login and a password are required.","Se requiere un nombre de usuario y una contraseña."
"Your search returned no results.","Su búsqueda no produjo resultados."
"Did you mean","Querías decir"
"Search results for: '%1'","Resultados de la búsqueda para: '%1'"
"Ordered","Ordenado"
"Shipped","Enviado"
"Create New Customer Account","Crear nueva cuenta de cliente"
"Personal Information","Informacion personal"
"Sign Up for Newsletter","Regístrese para recibir el boletín"
"Login Information","Información Entrar"
"Review by","Revisado por"
"Posted on","Publicado en"
"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Please select a pickup location.","Seleccione un lugar de recogida."
"Already a customer?","¿Ya eres cliente?"
"Receive a faster answer about your order by login in below.","Inicia sesión y recibe una respuesta inmediata sobre tu pedido."
"Customer accounts are created when you place an order. An email to activate your account was sent the same day. Did not receive that email? Activate your account by resetting your password <a href=""%1"">here</a>.","Las Cuentas de Cliente son creadas al realizar un pedido. Se envió un email para activarla el mismo día. ¿No has recibido el email? Activa tu cuenta creando una contraseña <a href=""%1"">aquí</a>."
"Customer Contact","Acceso Clientes"
"Not yet a customer? If you haven’t placed an order with us, please fill out our contact form.","¿Todavía no eres cliente? Si no has hecho ningún pedido con nosotros, por favor rellena el formulario de contacto."
"Fill out contact form","Rellena el formulario de contacto"
"Not yet a customer?","¿Todavía no eres cliente?"
"If you haven’t placed an order with us, please fill out our contact form below. If your question is about your order, please login <span class=""login"">here</span>. This will help us give you a faster answer!","Si no has hecho ningún pedido con nosotros, por favor rellena el formulario de contacto a continuación. Si tienes una pregunta sobre tu pedido, por favor inicia sesión <span class=""login"">aquí</span>. ¡Al iniciar sesión recibirás una respuesta en tan solo unas horas!"
